#Gene_A	Gene_B
851575	854245
855701	856746
850639	854353
855705	856140
1466431	854123
854796	856535
851374	854373
852248	855202
852685	853529
850554	856258
854955	856203
851212	855930
852796	853537
852235	856422
852068	856204
852248	854936
852344	855245
853422	855700
851431	855479
852990	854379
854531	856724
851394	854901
851394	855541
851097	851394
852755	855267
850702	851193
851024	855418
851825	852563
852569	852870
851095	854989
852757	856052
855882	856840
855068	855158
852373	852766
851269	853817
853465	853940
850389	853465
854324	854673
851394	852519
852757	855104
850580	851996
851302	855524
853467	855306
850676	854247
852852	855466
854999	856012
850440	855625
851052	852088
852673	852754
851212	853428
851219	853589
850585	852088
856275	856895
852378	855158
852724	854018
855512	855887
850664	855512
851135	853398
853464	855104
853482	853482
854503	854503
850695	856012
851879	852294
852239	854810
854489	854796
851336	855512
850345	856924
1466398	854373
853853	854525
851557	853167
852421	853451
851607	852403
851369	853025
852547	852744
853958	853958
851240	855512
850541	853456
850298	850326
855339	856076
852814	856738
850647	854082
851212	853315
856087	856095
852061	9164879
851048	851061
854433	856351
851174	855471
854875	856862
851212	855143
852295	852399
852497	854373
850785	856647
852437	855170
852916	856395
852481	856337
851394	851681
850554	855683
850320	850529
850949	853015
850647	851782
853227	856570
853133	856012
852748	853701
852865	855950
853751	856499
851212	855701
852881	856405
852757	852990
852592	856909
851266	852433
855339	855339
852324	852830
851394	852453
853376	854227
851518	856849
850808	852547
853503	853540
854741	855787
851052	856607
851802	853167
850415	853902
852802	856351
855886	855985
852295	855710
852127	855452
851394	852122
852988	854063
853048	856320
851000	852004
854373	856721
850742	851984
855888	856521
851415	851415
850803	855845
853450	854928
855212	855949
851030	851560
54971	850444
852352	852501
853785	855529
852982	855545
851532	851596
855276	855360
851857	852547
852881	9232
851394	853174
851266	854666
853133	856912
851329	851394
851394	856400
854093	854093
852696	852926
851750	855170
852361	854181
852171	854883
852980	856668
853418	855403
850647	852395
850747	854102
854869	855466
854382	856746
854229	856924
853688	855495
851249	851494
851688	851688
851539	856889
850333	856131
851394	853244
851488	851811
850647	856839
851373	853071
851061	856841
851761	854786
850889	855357
851394	852082
853335	856126
855836	856292
852218	852311
850647	850737
854071	855104
853123	853537
851708	855650
851124	851212
851681	854541
855620	855640
852352	852352
853304	856146
850920	855017
851214	854776
850820	856815
7316	850314
850646	852697
852248	853632
853031	856593
852406	855771
852284	854542
852602	853209
855336	855962
850611	851339
854356	856895
850884	853133
851955	852697
850320	854411
854019	856130
850440	855752
853264	854465
851314	854785
852042	854162
852402	852852
852348	852607
852830	856337
852697	856404
851660	855335
850639	856129
850598	856320
851147	855512
851241	852457
851151	855883
851415	853475
854106	854791
853682	856290
851212	856835
850554	855943
852547	854931
851678	855356
852410	855883
851216	856361
850558	851394
850689	851834
854902	856607
853017	855638
854504	856168
851889	856738
851293	855466
853775	855512
852065	856900
850995	852790
854029	855143
854029	856063
851212	854927
850399	852042
853002	855512
851508	853768
854937	856488
853902	856351
853447	854372
853811	856275
851061	855356
851259	855592
851212	853090
852406	855659
852255	856307
853327	854203
852497	853167
850496	851264
854919	856398
853635	854732
851811	855404
852353	852870
852284	853681
851394	852756
850799	855404
852068	854434
852457	852582
851811	854382
852243	853361
850875	854373
854220	856425
853739	853886
850647	855898
854399	855701
854825	855459
850847	852127
851758	853716
850549	856830
850980	851369
853315	855987
855705	855770
851394	855371
854158	856366
851754	855700
851736	854373
852946	854701
853133	856409
851817	851819
851994	855013
854938	855025
851304	852341
855029	855158
853011	856351
851997	853553
852755	855592
850297	852100
