Gene_A	Gene_B
2538752	5802781
2540727	2542546
2540020	2540847
2541585	2542733
2539481	2543515
2540079	2542733
2540884	2541143
2540570	2541978
2539818	3361412
2540712	2540712
2540320	3361036
2539847	2540746
2538698	2539560
2543290	2543517
2542378	3361255
2540053	2542374
2541683	2542295
2539847	2541457
2539467	2540667
2543453	2908
2540808	3361532
2540398	2543548
2540186	2542106
2539162	2540398
2539683	2543254
2539970	2542031
2540024	2541531
2540006	2542256
2541945	2542855
2541735	2542503
2540956	2543682
2542358	2543042
2538863	2543254
2540801	2541735
2542031	2908
2539481	2542135
2539540	2540633
2540794	2543058
2539928	2541654
2541518	2542080
2543055	2543188
2541772	2543486
2539179	2539642
2540744	2542622
2539847	2542464
2539010	2541772
2540612	2541677
2541265	2543639
2541872	2541872
2541592	2543058
2542416	3361337
2540051	3361566
2539960	2539960
2539560	2541158
2539497	2540398
2539372	3361384
2541813	2542936
2538832	2539645
2539773	2540292
2543563	5802965
2543058	2543371
2539560	2543254
2540627	2542438
2539607	9407016
2540330	2543254
2542242	2908
2539137	2543032
2540630	2542796
2542976	2543042
2539378	2540956
2539055	2541168
2541735	2542921
2543307	3361384
2540729	2541772
2542001	2542300
2540845	2543039
2539904	2541585
2538892	2541813
2538843	2539838
2539741	2540565
2540903	2541941
2539645	2542531
2539862	3361462
2540927	2542196
2539970	2540213
2539265	2543058
2539026	3361518
14218092	2539958
2543589	5802965
2539958	2542844
2541874	2542910
2540565	2541349
2542304	2542737
10844	2540392
2539047	2543631
2539764	2908
2542433	2542531
2538951	2542029
2539784	2543042
2541185	2542426
2539378	2539560
2539847	2541289
2541033	2543646
2541531	2542836
2538905	2541531
2539958	2539977
2540720	2541310
2540761	2541925
2542720	2542720
2540711	2540975
2541941	2543382
2540917	2542194
2540892	2541735
2539984	2540691
2541731	2543058
2541941	2542619
2539941	2543676
2540927	2542786
2542689	2542689
2540558	2542596
2540398	2541176
2541531	2542115
2539174	2540408
2543237	2543633
2539914	2541585
2539994	2543008
2543626	2908
2543626	3361526
2539305	2543254
2538916	2543580
2540574	2540574
2539631	2543035
2539047	2539746
2539843	2543026
2539847	2542173
2539349	2540629
2542173	2542256
2543042	2543131
2542173	2543631
2540720	2541867
2539815	2540927
2540292	2540362
2538875	2541194
2541089	2542347
2542410	2542632
2539309	2540392
2541474	2543281
2538936	2540462
2540927	2543042
2539560	2542732
2540917	2543681
2541772	2541772
2543426	3361515
2540716	2541547
2539047	2543044
2541727	2543009
2540367	3361384
2542080	5802740
2539413	3361384
2539174	2541265
2539314	2541735
2541593	2543646
2542740	2543229
2542531	2542631
2540210	2541203
2541245	2543042
2540711	2543583
2541944	2542173
2542293	2543027
2540804	2542367
2539958	2540943
2540133	2541531
2539123	2543539
2540398	2542636
2540635	2541203
2541813	2543250
2542123	2542123
2539928	2542253
2539560	2541756
2541818	2542260
2541531	2543256
2542725	3361384
2541585	2543431
2538858	2541531
2542173	2542520
2541726	2543027
2541688	2543010
2539497	2540582
2541143	2542369
2538959	2540719
2542387	2543670
2539631	2540133
2539847	2540681
2539219	2541592
2542615	3361204
2538907	2540368
2539928	2541579
2540283	2908
2542256	2542531
2542173	2543079
2540644	2908
2541412	2543042
2542327	2908
2539087	2540992
2541070	2542358
2539222	2540398
