sce	spo	score
854598	1669524	2.195
854593	1669529	1.08
24573117	1669531	0.093
854600	1669531	0.093
854601	1669530	0.68
854583	1669523	1.534
854584	1669532	0.285
24573116	1669532	0.285
854622	1669525	0.934
851260	2539275	0.549
851259	2542875	2.195
851259	2541815	2.195
851259	2540199	2.195
851259	2539225	2.195
851226	2542439	0.275
851224	2541282	0.132
851223	2542383	0.489
851217	2543042	1.807
851214	2539045	2.159
851213	2542973	0.251
851212	2538913	1.352
851210	2543657	2.195
851208	2541944	0.908
851207	2541239	2.195
851204	2540560	2.195
851204	2538846	2.195
851201	2538988	0.276
851200	2538895	0.233
851196	2543241	2.195
851195	2543662	1.862
851193	2543557	2.195
851192	2540445	0.478
851256	2541538	0.815
851255	2543538	0.293
851254	2541294	0.296
851252	2539858	0.182
851251	2539553	0.227
851249	2538910	1.783
851248	2540359	0.17
851245	2539546	2.195
851241	2543041	0.788
851237	2539147	1.855
851264	2540028	0.419
851265	2541776	0.715
851266	2541158	1.419
851267	2540591	0.362
851272	2541029	1.249
851273	2542237	0.807
851299	2540606	0.509
852284	2539523	0.67
852283	2539499	0.702
852276	2542338	0.944
852275	2540219	1.613
852274	2541959	0.149
852271	2540110	1.625
852270	2542294	0.218
852266	2542515	2.195
852264	2539861	1.746
852263	3361273	0.114
852262	2540679	0.67
852261	2541221	0.623
852260	2542027	0.426
852259	2541875	2.195
852258	2540620	2.195
852257	2541917	1.819
852255	2538804	0.392
852379	2539178	0.676
852254	2539178	0.676
852253	2540087	0.09
852250	2540900	1.637
852247	2541490	1.037
852245	2539135	0.859
852244	2543658	0.607
852243	2541162	0.812
852242	2539752	0.526
852241	2542937	2.195
852240	2540214	0.62
852239	2542062	0.93
852231	2543316	0.22
852230	2543488	0.77
852228	2542170	0.97
852225	2539901	0.732
852223	2542124	0.435
852222	2543170	0.469
852220	2540486	0.087
852216	2542732	1.449
852212	2540120	0.813
852211	2538924	1.516
852207	2543434	0.239
852206	2543354	1.06
856839	2543354	1.06
852203	2542875	2.195
852203	2541815	2.195
